layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Embed_proj,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
Attn_QKV,4096,3072,1024,982272,80.06,18.364,1403.246,108.353,1473.463,False,63488.0,646.74,COMPUTE,22.938,identity,70.2171
Attn_Score,4096,128,128,12256,33.42,7.666,17.509,0.795,40.914,True,3104.0,63.02,COMPUTE,22.938,softmax,23.4057
Attn_out,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
FFN_1,4096,4096,1024,1309696,80.06,18.364,1870.994,139.81,2619.977,False,81920.0,682.67,COMPUTE,22.938,gelu,748.9829
FFN_2,4096,1024,4096,1113856,94.14,21.593,1591.223,97.867,1965.714,False,57344.0,682.67,COMPUTE,22.938,layernorm,374.4914
