layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Conv1,3136,64,576,16627,10.61,9.734,23.753,0.748,25.993,True,2192.0,113.12,MEMORY,38.462,relu,2.24
Conv2a,3136,64,64,9971,1.97,1.804,14.244,0.202,16.484,True,592.0,63.35,MEMORY,21.54,relu,2.24
Conv2b,3136,64,576,16627,10.61,9.734,23.753,0.748,25.993,True,2192.0,113.12,MEMORY,38.462,relu,2.24
Conv3a,784,128,128,3068,6.39,5.861,4.383,0.106,5.503,True,310.0,118.34,MEMORY,40.235,relu,1.12
Conv3b,784,128,1152,7164,24.62,22.592,10.234,0.417,11.354,True,1222.0,200.88,MEMORY,68.3,relu,1.12
Conv4a,196,256,256,767,25.55,23.446,1.096,0.072,1.656,True,211.0,154.86,MEMORY,52.654,relu,0.56
Conv4b,196,256,2304,2815,62.66,57.495,4.021,0.381,4.581,True,1115.0,211.81,MEMORY,72.016,relu,0.56
Conv5a,49,512,512,2046,9.58,8.789,2.923,0.112,3.203,True,329.5,82.26,MEMORY,27.967,relu,0.28
Conv5b,49,512,4608,10238,17.23,15.809,14.626,0.878,14.906,True,2573.5,88.58,MEMORY,30.117,relu,0.28
FC,32,1000,2048,10236,9.77,8.964,14.623,0.726,14.98,True,2126.5,61.09,MEMORY,20.771,relu,0.3571
