layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Embed_proj,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
Attn_QKV,4096,3072,1024,982272,80.06,24.661,1044.97,54.176,1097.26,False,63488.0,646.74,COMPUTE,30.802,identity,52.2894
Attn_Score,4096,128,128,12256,33.42,10.294,13.038,0.397,30.468,True,3104.0,63.02,COMPUTE,30.802,softmax,17.4298
Attn_out,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
FFN_1,4096,4096,1024,1309696,80.06,24.661,1393.294,69.905,1951.047,False,81920.0,682.67,COMPUTE,30.802,gelu,557.7532
FFN_2,4096,1024,4096,1113856,94.14,28.997,1184.953,48.934,1463.83,False,57344.0,682.67,COMPUTE,30.802,layernorm,278.8766
