layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Conv1,3136,64,576,22375,31.54,9.713,23.803,0.561,25.471,True,4384.0,56.56,COMPUTE,30.802,relu,1.6681
Conv2a,3136,64,64,9575,8.19,2.522,10.186,0.152,11.854,True,1184.0,31.68,COMPUTE,30.802,relu,1.6681
Conv2b,3136,64,576,22375,31.54,9.713,23.803,0.561,25.471,True,4384.0,56.56,COMPUTE,30.802,relu,1.6681
Conv3a,784,128,128,2681,29.24,9.007,2.852,0.079,3.686,True,620.0,59.17,COMPUTE,30.802,relu,0.834
Conv3b,784,128,1152,9849,71.64,22.067,10.478,0.313,11.312,True,2444.0,100.44,COMPUTE,30.802,relu,0.834
Conv4a,196,256,256,2044,38.36,11.814,2.174,0.054,2.591,True,422.0,77.43,COMPUTE,30.802,relu,0.417
Conv4b,196,256,2304,10236,68.93,21.233,10.889,0.285,11.306,True,2230.0,105.91,COMPUTE,30.802,relu,0.417
Conv5a,49,512,512,3068,25.55,7.871,3.264,0.084,3.472,True,659.0,41.13,COMPUTE,30.802,relu,0.2085
Conv5b,49,512,4608,19452,36.27,11.173,20.694,0.659,20.902,True,5147.0,44.29,COMPUTE,30.802,relu,0.2085
FC,32,1000,2048,18424,21.71,6.687,19.6,0.544,19.866,True,4253.0,30.55,COMPUTE,30.802,relu,0.266
