layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Embed_proj,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
Attn_Q,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
Attn_K,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
Attn_V,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
Attn_QK,4096,64,64,12256,8.36,1.916,17.509,0.395,29.211,True,1544.0,31.75,MEMORY,19.051,softmax,11.7029
Attn_AV,4096,64,4096,139232,47.07,10.797,198.903,58.545,222.309,False,34304.0,62.06,COMPUTE,22.938,layernorm,23.4057
Attn_out,4096,1024,1024,327424,80.06,18.364,467.749,45.438,491.154,False,26624.0,455.11,COMPUTE,22.938,identity,23.4057
FFN_1,4096,4096,1024,1309696,80.06,18.364,1870.994,139.81,2619.977,False,81920.0,682.67,COMPUTE,22.938,gelu,748.9829
FFN_2,4096,1024,4096,1113856,94.14,21.593,1591.223,97.867,1965.714,False,57344.0,682.67,COMPUTE,22.938,layernorm,374.4914
