layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Embed_proj,4096,1024,1024,98240,66.71,61.207,140.343,4.544,163.749,True,13312.0,910.22,COMPUTE,91.75,identity,23.4057
Attn_Q,4096,1024,1024,98240,66.71,61.207,140.343,4.544,163.749,True,13312.0,910.22,COMPUTE,91.75,identity,23.4057
Attn_K,4096,1024,1024,98240,66.71,61.207,140.343,4.544,163.749,True,13312.0,910.22,COMPUTE,91.75,identity,23.4057
Attn_V,4096,1024,1024,98240,66.71,61.207,140.343,4.544,163.749,True,13312.0,910.22,COMPUTE,91.75,identity,23.4057
Attn_QK,4096,64,64,12272,2.09,1.914,17.531,0.264,29.234,True,772.0,63.5,MEMORY,21.591,softmax,11.7029
Attn_AV,4096,64,4096,73712,22.23,20.393,105.303,5.855,128.709,True,17152.0,124.12,MEMORY,42.201,layernorm,23.4057
Attn_out,4096,1024,1024,98240,66.71,61.207,140.343,4.544,163.749,True,13312.0,910.22,COMPUTE,91.75,identity,23.4057
FFN_1,4096,4096,1024,392960,66.71,61.207,561.371,123.362,1310.354,False,40960.0,1365.33,COMPUTE,91.75,gelu,748.9829
FFN_2,4096,1024,4096,294848,88.91,81.574,421.211,86.353,795.703,False,28672.0,1365.33,COMPUTE,91.75,layernorm,374.4914
