layer_name,M,N,K,compute_cycles,mxu_utilization,compute_tflops,compute_time_us,memory_time_us,total_time_us,in_sram,total_bytes_kb,arith_intensity,bound,achievable_tops,vpu_op,vpu_time_us
Embed_proj,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
Attn_Q,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
Attn_K,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
Attn_V,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
Attn_QK,4096,64,64,12256,8.36,2.574,13.038,0.198,21.753,True,1544.0,31.75,COMPUTE,30.802,softmax,8.7149
Attn_AV,4096,64,4096,139232,47.07,14.498,148.119,29.273,165.549,False,34304.0,62.06,COMPUTE,30.802,layernorm,17.4298
Attn_out,4096,1024,1024,327424,80.06,24.661,348.323,3.408,365.753,True,26624.0,455.11,COMPUTE,30.802,identity,17.4298
FFN_1,4096,4096,1024,1309696,80.06,24.661,1393.294,69.905,1951.047,False,81920.0,682.67,COMPUTE,30.802,gelu,557.7532
FFN_2,4096,1024,4096,1113856,94.14,28.997,1184.953,48.934,1463.83,False,57344.0,682.67,COMPUTE,30.802,layernorm,278.8766
